Season,FG,FGA,3P,3PA,FT,FTA,PTS,FG%,3P%,FT%,Pace,ORtg,,,,,Season,FG%
1946-47,25.9,92.9,,,15.9,24.8,67.8,0.279,,0.641,,,,,,,1946-47,0.279
1947-48,27.2,96,,,18.2,27,72.7,0.284,,0.675,,,,,,,1947-48,0.284
1948-49,29,88.7,,,22,31.3,80,0.327,,0.703,,,,,,,1948-49,0.327
1949-50,28.2,83.1,,,23.6,33,80,0.34,,0.714,,,,,,,1949-50,0.34
1950-51,29.8,83.6,,,24.5,33.4,84.1,0.357,,0.733,,,,,,,1950-51,0.357
1951-52,29.6,80.8,,,24.4,33.2,83.7,0.367,,0.735,,,,,,,1951-52,0.367
1952-53,28.5,77.1,,,25.7,35.9,82.7,0.37,,0.716,,,,,,,1952-53,0.37
1953-54,28.1,75.4,,,23.4,33,79.5,0.372,,0.709,,,,,,,1953-54,0.372
1954-55,33.3,86.4,,,26.5,35.9,93.1,0.385,,0.738,,,,,,,1954-55,0.385
1955-56,35.3,91.4,,,28.4,38,99,0.387,,0.745,,,,,,,1955-56,0.387
1956-57,35.9,94.6,,,27.7,36.9,99.6,0.38,,0.751,,,,,,,1956-57,0.38
1957-58,39,101.9,,,28.6,38.3,106.6,0.383,,0.746,,,,,,,1957-58,0.383
1958-59,40.4,102.3,,,27.4,36.3,108.2,0.395,,0.756,,,,,,,1958-59,0.395
1959-60,44.5,108.7,,,26.3,35.8,115.3,0.41,,0.735,,,,,,,1959-60,0.41
1960-61,45.4,109.4,,,27.4,37.4,118.1,0.415,,0.733,,,,,,,1960-61,0.415
1961-62,45.9,107.7,,,27,37.1,118.8,0.426,,0.727,,,,,,,1961-62,0.426
1962-63,44.6,101.2,,,26.1,35.9,115.3,0.441,,0.727,,,,,,,1962-63,0.441
1963-64,42.9,99.1,,,25.3,35,111,0.433,,0.722,,,,,,,1963-64,0.433
1964-65,42.5,99.8,,,25.6,35.6,110.6,0.426,,0.721,,,,,,,1964-65,0.426
1965-66,44.3,102.4,,,26.9,37,115.5,0.433,,0.727,,,,,,,1965-66,0.433
1966-67,45.5,103.1,,,26.5,36.2,117.4,0.441,,0.732,,,,,,,1966-67,0.441
1967-68,45,100.8,,,26.7,37.1,116.6,0.446,,0.72,,,,,,,1967-68,0.446
1968-69,43.7,99,,,25,35,112.3,0.441,,0.714,,,,,,,1968-69,0.441
1969-70,45.7,99.4,,,25.3,33.7,116.7,0.46,,0.751,,,,,,,1969-70,0.46
1970-71,44,98,,,24.3,32.7,112.4,0.449,,0.745,,,,,,,1970-71,0.449
1971-72,43.4,95.5,,,23.3,31.2,110.2,0.455,,0.748,,,,,,,1971-72,0.455
1972-73,44.2,96.9,,,19.2,25.3,107.6,0.456,,0.758,,,,,,,1972-73,0.456
1973-74,43.1,93.9,,,19.6,25.4,105.7,0.459,,0.771,107.8,97.7,,,,,1973-74,0.459
1974-75,41.7,91.1,,,19.3,25.2,102.6,0.457,,0.765,104.5,97.7,,,,,1974-75,0.457
1975-76,42.1,91.7,,,20.2,26.9,104.3,0.458,,0.751,105.5,98.3,,,,,1975-76,0.458
1976-77,42.8,92,,,20.8,27.7,106.5,0.465,,0.751,106.5,99.5,,,,,1976-77,0.465
1977-78,43.6,92.9,,,21.4,28.4,108.5,0.469,,0.752,106.7,100.9,,,,,1977-78,0.469
1978-79,44.5,91.7,,,21.3,28.3,110.3,0.485,,0.752,105.8,103.8,,,,,1978-79,0.485
1979-80,43.6,90.6,0.8,2.8,21.3,27.8,109.3,0.481,0.28,0.764,103.1,105.3,,,,,1979-80,0.481
1980-81,43,88.4,0.5,2,21.7,28.9,108.1,0.486,0.245,0.751,101.8,105.5,,,,,1980-81,0.486
1981-82,43.3,88.2,0.6,2.3,21.3,28.6,108.6,0.491,0.262,0.746,100.9,106.9,,,,,1981-82,0.491
1982-83,43.5,89.7,0.5,2.3,20.9,28.3,108.5,0.485,0.238,0.74,103.1,104.7,,,,,1982-83,0.485
1983-84,43.5,88.4,0.6,2.4,22.6,29.7,110.1,0.492,0.25,0.76,101.4,107.6,,,,,1983-84,0.492
1984-85,43.8,89.1,0.9,3.1,22.4,29.4,110.8,0.491,0.282,0.764,102.1,107.9,,,,,1984-85,0.491
1985-86,43.2,88.6,0.9,3.3,22.9,30.3,110.2,0.487,0.282,0.756,102.1,107.2,,,,,1985-86,0.487
1986-87,42.6,88.8,1.4,4.7,23.2,30.5,109.9,0.48,0.301,0.763,100.8,108.3,,,,,1986-87,0.48
1987-88,42.1,87.7,1.6,5,22.3,29.1,108.2,0.48,0.316,0.766,99.6,108,,,,,1987-88,0.48
1988-89,42.5,89,2.1,6.6,22.1,28.8,109.2,0.477,0.323,0.768,100.6,107.8,,,,,1988-89,0.477
